"obs","study","author","year","class","order","family","genus","species","variable","fitness.estimate","treatment","estimated.increase.in.harm","SMDH","v_SMDH","logCVR","v_logCVR","logVR","v_logVR","SME_index","Male.measure","Female.measure","SCR.SCI","Sperm.compet","Harm_type","Parental.care","Gestation","depend","shared.control","source","M_lifespan","F_lifespan","SSD","SSD_lnRR","species2","zSSD","sex_life","inv_n_eff","geary_control","geary_trt","geary_test","trt","mean","obs2","name.y","sd","name","n","study.obs","lnSD","v_lnSD","lnX","v_lnX"
4,2,"Maklakov",2005,"Arachnida","Araneae","Eresidae","Stegodyphus","Stegodyphus lineatus","nº offspring","direct","mating rate","2.5x",0.656164361101259,0.136220973776764,-0.328909274166907,0.138069501441518,0.110926545904316,0.0717391304347826,1,10,10.68,"Low","no","both","yes","oviparous",0,0,"text",60.8,121.6,-0.68,-0.065787740538003,"Stegodyphus lineatus",0.512526874631464,-0.693147180559945,0.132575757575758,17.1521304535299,8.49335963182117,"pass","X_C",45.58,1,"sd_C",25.768632094079,"N_C",24,"4_2",3.27089707235837,0.0217391304347826,3.81946902381754,0.0133175043286847
4,2,"Maklakov",2005,"Arachnida","Araneae","Eresidae","Stegodyphus","Stegodyphus lineatus","nº offspring","direct","mating rate","2.5x",0.656164361101259,0.136220973776764,-0.328909274166907,0.138069501441518,0.110926545904316,0.0717391304347826,1,10,10.68,"Low","no","both","yes","oviparous",0,0,"text",60.8,121.6,-0.68,-0.065787740538003,"Stegodyphus lineatus",0.512526874631464,-0.693147180559945,0.132575757575758,17.1521304535299,8.49335963182117,"pass","X_T",29.36,2,"sd_T",22.4203835828025,"N_T",11,"4_2",3.15997052645406,0.05,3.37963320374631,0.0530128666780509
5,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",0.145145655328354,0.0809464555707232,-0.0655695916560564,0.0533773229777235,-0.00921665510492205,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,26.7693436010268,25.0703969479516,"pass","X_C",154.380664652568,3,"sd_C",57.0996978851964,"N_C",25,"5_3",4.065632159004,0.0208333333333333,5.03942140081473,0.00547194595608933
5,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",0.145145655328354,0.0809464555707232,-0.0655695916560564,0.0533773229777235,-0.00921665510492205,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,26.7693436010268,25.0703969479516,"pass","X_T",145.921450151057,4,"sd_T",57.6283987915407,"N_T",25,"5_3",4.07484881410893,0.0208333333333333,4.9830684642636,0.00623871035496746
6,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",2.05651904119278,0.124104416903525,-1.05524219196802,0.0687002315110642,-0.127833371509884,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,36.6336633663366,12.7524752475248,"pass","X_C",215.181268882175,5,"sd_C",58.1570996978852,"N_C",25,"6_3",4.0839812976722,0.0208333333333333,5.37148078398905,0.0029218407596786
6,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",2.05651904119278,0.124104416903525,-1.05524219196802,0.0687002315110642,-0.127833371509884,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,36.6336633663366,12.7524752475248,"pass","X_T",85.1208459214501,6,"sd_T",66.0876132930513,"N_T",25,"6_3",4.21181466918208,0.0208333333333333,4.44407196353091,0.0241117240847189
7,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",1.02877539284187,0.0935542609510245,-0.211492934094241,0.0751443950617284,0.481654246465708,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,17.2024924500173,13.9232673267326,"pass","X_C",237.915407854985,7,"sd_C",136.933534743202,"N_C",25,"7_3",4.94032899357932,0.0208333333333333,5.47191518131082,0.0132505679012345
7,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",1.02877539284187,0.0935542609510245,-0.211492934094241,0.0751443950617284,0.481654246465708,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,17.2024924500173,13.9232673267326,"pass","X_T",118.957703927492,8,"sd_T",84.5921450151057,"N_T",25,"7_3",4.45867474711361,0.0208333333333333,4.77876800075087,0.0202271604938273
8,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",0.394862232588993,0.0823081987319551,-0.210978266043756,0.0698365398058444,0.0239532410224924,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,18.7474368738649,15.1815181518152,"pass","X_C",169.184290030211,9,"sd_C",89.3504531722054,"N_C",25,"8_3",4.51339964680286,0.0208333333333333,5.13098859434022,0.0111566406250001
8,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",0.394862232588993,0.0823081987319551,-0.210978266043756,0.0698365398058444,0.0239532410224924,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,18.7474368738649,15.1815181518152,"pass","X_T",133.761329305136,10,"sd_T",87.2356495468278,"N_T",25,"8_3",4.48944640578036,0.0208333333333333,4.89605708727397,0.0170132325141777
9,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",0.414840326302567,0.0827436459123254,0.10891884255258,0.082120854225301,0.419549847989901,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,13.2243993630132,14.7461554666105,"pass","X_C",100.981873111782,11,"sd_C",75.6042296072507,"N_C",25,"9_3",4.34634556213969,0.0208333333333333,4.61494102659308,0.0224215344974098
9,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",0.414840326302567,0.0827436459123254,0.10891884255258,0.082120854225301,0.419549847989901,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059,"Sancassania berlesei",-0.30043874131336,0.144344589737629,0.08,13.2243993630132,14.7461554666105,"pass","X_T",74.0181268882175,12,"sd_T",49.6978851963747,"N_T",25,"9_3",3.92679571414979,0.0208333333333333,4.30431002115576,0.0180326530612246
10,4,"Kolodziejczyk",2003,"Arachnida","Sarcoptiformes","Acaridae","Rhizoglyphus","Rhizoglyphus robini","Lifetime fecundity (longevity x egg laying rate)","direct","male access","10x",0.232537263718365,0.0348645513808893,0.00666753535626388,0.0275964110448505,0.133531392624526,0.0175438596491228,0,0.55,0.73,"High","yes","both","no","oviparous",1,0,"fig1",67.5,35.5,-0.18,-0.28312625591592,"Rhizoglyphus robini",-0.683041784814586,0.642594901397114,0.0344827586206897,27.9959942775393,28.1832822399345,"pass","X_C",285.93220338983,13,"sd_C",154.897080119266,"N_C",58,"10_4",5.05153282696814,0.0087719298245614,5.65575473163429,0.00505978807218212
