"obs","study","author","year","class","order","family","genus","species","variable","fitness.estimate","treatment","estimated.increase.in.harm","X_C","sd_C","N_C","X_T","sd_T","N_T","SMDH","v_SMDH","logCVR","v_logCVR","logVR","v_logVR","SME_index","Male.measure","Female.measure","SCR.SCI","Sperm.compet","Harm_type","Parental.care","Gestation","depend","shared.control","source","M_lifespan","F_lifespan","SSD","SSD_lnRR"
1,1,"Grayson",2012,"Amphibia","Urodela","Salamandridae","Notophtalmus","Notophthalmus viridescens","mass change (BC)","indirect","OSR","4x",0.000920245398773001,0.0717791411042943,9,-0.0947852760736196,0.0883435582822086,9,1.13228395186729,0.264549300609738,NA,NA,-0.207639364778247,0.125,0,41.5,44,"Low","no","indirect","no","oviparous",0,0,"fig2",2182.7,2199.125,-2.5,-0.0584962066816085
2,1,"Grayson",2012,"Amphibia","Urodela","Salamandridae","Notophtalmus","Notophthalmus viridescens","mass change (BC)","indirect","OSR","4x",-0.053680981595092,0.0826514943883895,6,-0.0984662576687116,0.0961762843792168,6,0.460864999369672,0.34983067540123,NA,NA,-0.1515498981272,0.2,0,41.5,44,"Low","no","indirect","no","oviparous",0,0,"fig2",2182.7,2199.125,-2.5,-0.0584962066816085
3,1,"Grayson",2012,"Amphibia","Urodela","Salamandridae","Notophtalmus","Notophthalmus viridescens","mass change (BC)","indirect","OSR","4x",-0.0358895705521471,0.0435669221535728,3,-0.0726993865030675,0.0520677850128067,3,0.611799590769403,0.667332194738633,NA,NA,-0.178248231406323,0.5,0,41.5,44,"Low","no","indirect","no","oviparous",0,0,"fig2",2182.7,2199.125,-2.5,-0.0584962066816085
4,2,"Maklakov",2005,"Arachnida","Araneae","Eresidae","Stegodyphus","Stegodyphus lineatus","nº offspring","direct","mating rate","2.5x",45.58,25.768632094079,24,29.36,22.4203835828025,11,0.656164361101259,0.136220973776764,-0.328909274166907,0.138069501441518,0.110926545904316,0.0717391304347826,1,10,10.68,"Low","no","both","yes","oviparous",0,0,"text",60.8,121.6,-0.68,-0.065787740538003
5,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",154.380664652568,57.0996978851964,25,145.921450151057,57.6283987915407,25,0.145145655328354,0.0809464555707232,-0.0655695916560564,0.0533773229777235,-0.00921665510492205,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059
6,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",215.181268882175,58.1570996978852,25,85.1208459214501,66.0876132930513,25,2.05651904119278,0.124104416903525,-1.05524219196802,0.0687002315110642,-0.127833371509884,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059
7,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",237.915407854985,136.933534743202,25,118.957703927492,84.5921450151057,25,1.02877539284187,0.0935542609510245,-0.211492934094241,0.0751443950617284,0.481654246465708,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059
8,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",169.184290030211,89.3504531722054,25,133.761329305136,87.2356495468278,25,0.394862232588993,0.0823081987319551,-0.210978266043756,0.0698365398058444,0.0239532410224924,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059
9,3,"Radwan",1999,"Arachnida","Sarcoptiformes","Acaridae","Sancassania","Sancassania berlesei","fecundity (nº eggs)","direct","OSR","4x",100.981873111782,75.6042296072507,25,74.0181268882175,49.6978851963747,25,0.414840326302567,0.0827436459123254,0.10891884255258,0.082120854225301,0.419549847989901,0.0416666666666667,0,0.672,0.832,"High","yes","both","no","oviparous",0,0,"fig1",27.23,23.57,-0.16,-0.213574100298059
10,4,"Kolodziejczyk",2003,"Arachnida","Sarcoptiformes","Acaridae","Rhizoglyphus","Rhizoglyphus robini","Lifetime fecundity (longevity x egg laying rate)","direct","male access","10x",285.93220338983,154.897080119266,58,251.864406779661,135.534945104358,58,0.232537263718365,0.0348645513808893,0.00666753535626388,0.0275964110448505,0.133531392624526,0.0175438596491228,0,0.55,0.73,"High","yes","both","no","oviparous",1,0,"fig1",67.5,35.5,-0.18,-0.28312625591592
11,4,"Kolodziejczyk",2003,"Arachnida","Sarcoptiformes","Acaridae","Rhizoglyphus","Rhizoglyphus robini","Lifetime fecundity (longevity x egg laying rate)","direct","male access","10x",283.389830508475,158.769507122247,58,242.203389830509,127.790091098394,58,0.283904394875436,0.0349911836679438,0.0600188895230499,0.0277552188388821,0.217064505237829,0.0175438596491228,0,0.55,0.73,"High","yes","both","no","oviparous",2,0,"fig1",67.5,35.5,-0.18,-0.28312625591592
